"Category ID";"Active (0 = No, 1 = Yes)";"Name";"Parent Category ID";"Parent Category Name";"Description";"Rewritten URL";"Meta Title";"Meta Keywords";"Meta Description";"Position";"Image URL";"Creation Date";"Group Names (x,y,z...)";"Group Reductions (x,y,z...)"
"15";"1";"Modern Fine Art";"4";"Style";"Our Modern Fine Art Collection & Paintings is made for people who love clean lines, bold ideas, and a fresh, contemporary feel. Inside this curated collection you’ll find everything from abstract shapes and color-focused pieces to modern portraits, minimal forms, and statement graphic art. Each artwork is chosen to feel current and stylish, with a balance of calm, energy, and personality that fits a modern lifestyle and mindset.
 
 This is a carefully built curated art collection, not random pieces. Every work is selected to make buying art online simple, enjoyable, and inspiring. You’ll discover art that feels powerful, elegant, and expressive – pieces that tell a story, reflect your taste, and make you feel something every time you look at them. If you’re searching for modern wall art and fine art paintings for sale that are unique, high-quality, and designed with intention, this collection is the perfect place to explore and find your next favorite piece.";"modern-fine";"Modern Fine Art Collection & Paintings| Right Art Uk";"";"Discover curated Modern Fine Art Paintings & Wall Art. Shop modern, expressive pieces and buy unique fine art online for your personal collection.";"";"";"";"Visitor,Customer,Guest";""
"16";"1";"Anime paintings";"4";"Style";"Step into our Anime Paintings & Art Collection, where bold color, iconic characters, and playful stories come together in one curated space. This is the place for fans who want to buy art that actually feels like them – from cute and cozy scenes to powerful, dramatic moments straight out of your favorite shows and childhood memories. Every piece is chosen to spark nostalgia, joy, and a little bit of escapism, whether you’re all about classic anime heroes, chibi characters, or fun cartoon vibes.
 
 This curated art collection is designed for people who live and breathe anime, gaming, and pop culture. You’ll find expressive faces, dynamic poses, and story-rich worlds that bring emotion and personality to your walls. We handpick each artwork so you don’t have to scroll forever – it’s all killer, no filler. Whether you’re starting your first anime wall art setup or adding a new favorite to your collection, this is where your fandom and art taste meet in the best way";"anime";"Anime paintings & Art Collection| Right Art Uk";"";"Curated Anime & Cartoon Paintings & Wall Art collection for fans. Shop bold, nostalgic designs and buy anime-inspired art online.";"";"";"";"Visitor,Customer,Guest";""
"17";"1";"Cartoon paintings";"4";"Style";"Step into our Cartoon Paintings & Art Collection, where bold color, iconic characters, and playful stories come together in one curated space. This is the place for fans who want to buy art that actually feels like them – from cute and cozy scenes to powerful, dramatic moments straight out of your favorite shows and childhood memories. Every piece is chosen to spark nostalgia, joy, and a little bit of escapism, whether you’re all about classic anime heroes, chibi characters, or fun cartoon vibes.
 
 This curated art collection is designed for people who live and breathe anime, gaming, and pop culture. You’ll find expressive faces, dynamic poses, and story-rich worlds that bring emotion and personality to your walls. We handpick each artwork so you don’t have to scroll forever – it’s all killer, no filler. Whether you’re starting your first anime wall art setup or adding a new favorite to your collection, this is where your fandom and art taste meet in the best way";"cartoon";"Cartoon paintings & Art Collection| Right Art Uk";"";"Curated Anime & Cartoon Paintings & Wall Art collection for fans. Shop bold, nostalgic designs and buy anime-inspired art online.";"";"";"";"Visitor,Customer,Guest";""
"18";"1";"Digital Art";"4";"Style";"Discover our Digital Art Collection & Paintings, a curated mix of bold, modern visuals and soft, dreamy designs. Each artwork is handpicked to tell a story – from abstract shapes and futuristic vibes to calm nature scenes and minimal line art. This is the place for people who love buying art that feels fresh, stylish, and full of personality. Whether you like bright statement pieces or subtle, aesthetic designs, you’ll find something here that speaks to your taste and mood.
 
 Our Digital Art Paintings & Wall Art collection is carefully built like a gallery you can scroll through, with every piece chosen for balance, color harmony, and emotional impact. These artworks are ideal for anyone searching for a trusted, curated art collection instead of random prints online. You can explore themes like modern luxury, urban energy, peaceful nature, dreamy fantasy, and powerful portraits – all in one place. Shopping here makes it easy to discover artwork that matches your style, values, and lifestyle, so you can invest in meaningful art you’ll enjoy and feel proud to own for years.";"digital";"Digital Art Collection & Paintings| Right Art Uk";"";"Shop curated digital art paintings & wall art – modern, emotional, and stylish pieces for art lovers who want meaningful, high-quality designs.";"";"";"";"Visitor,Customer,Guest";""
"19";"1";"Street Art";"4";"Style";"Our Street Art Collection & Paintings brings the rush of the city straight into your art lineup. Here you’ll find bold, high-energy pieces inspired by alley walls, subway stations, music, youth culture, and everyday life in motion. This curated art collection is all about attitude, color, and strong visual impact—perfect for anyone who loves urban style and wants to buy art that really says something.
 
 Inside this collection, you’ll discover expressive graffiti tags, powerful characters, punchy slogans, abstract shapes, and playful pop-culture twists. Some artworks feel loud, rebellious, and raw; others are more nostalgic, dreamy, or surprisingly tender. Each piece is carefully selected so you can shop street art online with confidence, knowing every design has its own story, vibe, and mood. Browse the full range to find the graffiti wall art that matches your personality, adds edge to your art collection, and makes your space feel uniquely yours.
 
 Whether you’re building a fresh, modern art collection or searching for that one statement piece, this street art gallery is thoughtfully curated to give you choice without the overwhelm. Every artwork is handpicked to highlight creativity, authenticity, and the bold spirit of the streets.";"street";"Street Art Collection & Paintings| Right Art Uk";"";"Explore bold street art and graffiti wall art. Curated collection to buy unique urban pieces that express your style.";"";"";"";"Visitor,Customer,Guest";""
"20";"1";"Graffiti paintings";"4";"Style";"Our Graffiti Paintings & Art Collection brings the rush of the city straight into your art lineup. Here you’ll find bold, high-energy pieces inspired by alley walls, subway stations, music, youth culture, and everyday life in motion. This curated art collection is all about attitude, color, and strong visual impact—perfect for anyone who loves urban style and wants to buy art that really says something.
 
 Inside this collection, you’ll discover expressive graffiti tags, powerful characters, punchy slogans, abstract shapes, and playful pop-culture twists. Some artworks feel loud, rebellious, and raw; others are more nostalgic, dreamy, or surprisingly tender. Each piece is carefully selected so you can shop street art online with confidence, knowing every design has its own story, vibe, and mood. Browse the full range to find the graffiti wall art that matches your personality, adds edge to your art collection, and makes your space feel uniquely yours.
 
 Whether you’re building a fresh, modern art collection or searching for that one statement piece, this street art gallery is thoughtfully curated to give you choice without the overwhelm. Every artwork is handpicked to highlight creativity, authenticity, and the bold spirit of the streets.";"graffiti";"Graffiti paintings & Art Collection| Right Art Uk";"";"Explore bold street art and graffiti wall art. Curated collection to buy unique urban pieces that express your style.";"";"";"";"Visitor,Customer,Guest";""
"21";"1";"Photographs paintings";"4";"Style";"Step into our Photography Paintings & Art Collection, where every piece feels like a story frozen in time. Here you’ll find art inspired by powerful photographs – dramatic city streets, calm nature scenes, dreamy portraits, travel moments, abstract light trails, and more. Each artwork is chosen for its strong visual impact, emotional depth, and the way it captures real-life moments in a cinematic, almost “still frame” style.
 
 This curated art collection is perfect for anyone who loves realistic details, bold compositions, and modern visual storytelling. Whether you’re looking to buy art that feels personal, expressive, or simply eye-catching, these photography-inspired pieces offer a mix of moody, vibrant, minimal, and dramatic looks. We carefully select every design so you can shop wall art online with confidence, knowing each piece has been handpicked for quality, style, and emotion. Discover art that doesn’t just decorate your space, but stays with you like a favorite memory.";"photographs";"Photographs paintings & Art Collection| Right Art Uk";"";"Discover photography-inspired paintings & wall art. Shop a curated art collection of expressive, modern pieces and buy wall art online with confidence.";"";"";"";"Visitor,Customer,Guest";""
"22";"1";"Geometric paintings";"5";"Subjects";"Geometry Paintings & Art Collection is all about clean lines, bold shapes, and colors that instantly catch the eye. This curated art collection brings together pieces inspired by circles, triangles, grids, and abstract patterns, creating a modern and stylish visual rhythm. Each artwork is chosen to feel balanced yet energetic, perfect for anyone who loves structure, symmetry, and a bit of playful contrast in their art.
 
 Inside this collection, you’ll find geometric wall art that ranges from soft, minimal designs to strong, statement pieces with high impact. Some works focus on calming, repeated patterns, while others explore broken shapes and dynamic angles that feel fresh and surprising. Every piece is carefully selected to help you buy art that reflects your taste, whether you’re into contemporary design, abstract style, or bold color blocking. Think of this as your go-to place for thoughtfully curated art, where each work is chosen to spark emotion, start conversations, and make your collection feel truly unique.";"geometric";"Geometric paintings & Art Collection| Right Art Uk";"";"Discover bold geometry paintings and wall art in a curated collection that makes buying modern, abstract art online simple and inspiring.";"";"";"";"Visitor,Customer,Guest";""
"23";"1";"Pop Art";"4";"Style";"Step into our Pop Art Collection & Paintings, where bold color, playful graphics, and iconic culture collide. Here you’ll find eye-catching portraits, comic-style scenes, neon-inspired typography, and pop culture mashups that feel fun, fresh, and instantly memorable. Each artwork is chosen to bring that cool, gallery-style attitude you love from classic and modern pop art, all in one easy place to browse and buy art online.
 
 This curated art collection is designed for people who want their walls to make a statement. From striking close-up faces and retro poster vibes to graphic patterns and witty visual jokes, every piece has personality. We carefully handpick each artwork so you can shop pop art paintings for sale with confidence, knowing the style, quality, and mood all work together. Explore the collection, find the pieces that match your vibe, and build a pop art wall that feels bold, stylish, and uniquely you.";"pop";"Pop Art Collection & Paintings| Right Art Uk";"";"Discover bold Pop Art paintings & wall art in our curated collection. Shop vibrant, collectible pieces and buy pop art online with confidence.";"";"";"";"Visitor,Customer,Guest";""
"24";"1";"Classic Art";"4";"Style";"Step into our Classic Art Collection & Paintings, where timeless style meets a carefully curated selection of masterpieces. Here you’ll find graceful portraits, grand historical scenes, dreamy landscapes, and elegant still life pieces inspired by famous eras of art history. Each artwork is chosen to bring that classic, museum-style feeling into your life, with rich details, balanced composition, and a sense of quiet luxury that never goes out of fashion.
 
 This curated art collection is perfect for anyone who loves heritage, culture, and storytelling through art. From romantic scenes and dramatic silhouettes to serene nature views and refined architectural themes, every piece is picked to create a mood of depth, elegance, and calm. Whether you’re looking to buy classic wall art online, build a personal art collection, or simply add a touch of old-world charm to your space, this is where you’ll discover art that feels special, meaningful, and made to be treasured for years.";"classic";"Classic Art Collection & Paintings| Right Art Uk";"";"Shop our Classic Art Paintings & Wall Art collection – timeless, curated masterpieces for art lovers looking to buy elegant classic wall art online.";"";"";"";"Visitor,Customer,Guest";""
"25";"1";"Fine Art";"4";"Style";"Step into our Fine Art Collection & Paintings, where every piece is chosen to tell a story and spark emotion. Here you’ll find a mix of bold abstract art, calming nature scenes, expressive portraits, and modern statement pieces that speak to different moods and personalities. Each artwork is carefully selected to feel timeless yet fresh, giving you the chance to buy art that truly connects with you, not just fill a wall.
 
 This curated art collection is all about feeling something when you look at it—peace, joy, nostalgia, power, or quiet reflection. We focus on meaningful details, balanced composition, and strong visual impact so that every artwork feels like a special find. Whether you’re building your first art collection or adding to an existing one, this is a place to discover unique fine art wall art, thoughtfully brought together to make choosing the right piece easier, inspiring, and enjoyable.";"fine";"Fine Art Collection & Paintings| Right Art Uk";"";"Shop Fine Art Paintings & Wall Art – a curated collection of emotive pieces to buy online and grow your personal art collection.";"";"";"";"Visitor,Customer,Guest";""
"26";"1";"Minimalist paintings";"4";"Style";"Minimalist Paintings & Art Collection is all about calm, clarity, and clean design. This curated art collection brings together carefully chosen pieces with simple lines, soft contrasts, and balanced shapes. Inside this collection, you’ll find abstract forms, subtle gradients, monochrome designs, and gentle color palettes that feel modern, airy, and thoughtfully stripped back. Every artwork is selected to create a feeling of peace, focus, and quiet confidence.
 
 Whether you’re looking to buy art that feels modern, stylish, and uncluttered, or to build a cohesive curated art collection, this minimalist wall art range is designed to make your choice easy. Each piece is chosen to work beautifully on its own or as part of a set, so you can collect artworks that reflect a refined, contemporary taste. Explore the collection and discover pieces that speak through simplicity, leaving space for your own story and lifestyle.";"minimalist";"Minimalist paintings & Art Collection| Right Art Uk";"";"Curated minimalist art paintings & wall art collection. Shop calm, modern pieces and buy timeless designs to express your style.";"";"";"";"Visitor,Customer,Guest";""
"27";"1";"Realism paintings";"4";"Style";"Step into our Realism Paintings & Art Collection, where every piece feels true to life. This curated gallery is all about detail, emotion, and stories you can almost step into. Here you’ll find lifelike portraits, everyday moments, city streets, nature scenes, and still-life compositions that look strikingly real. Each artwork is carefully selected for its clarity, depth, and the way it captures light, shadow, and expression in a believable way.
 
 This realism art collection is designed for people who love art that feels honest and relatable. You’ll see faces that seem to look back at you, landscapes that feel familiar, and quiet scenes that hold a deeper meaning the longer you look. Our goal is to offer a thoughtful, high-quality selection so you can confidently buy art online, knowing every piece in this curated collection has been handpicked for impact, emotion, and timeless appeal.";"realism";"Realism paintings & Art Collection| Right Art Uk";"";"Explore our Realism Paintings & Wall Art collection, a curated gallery of lifelike scenes and portraits ready to buy online.";"";"";"";"Visitor,Customer,Guest";""
"28";"1";"Impressionist paintings";"4";"Style";"Step into our Impressionist Paintings & Art Collection, where every piece captures a fleeting moment of light, color, and emotion. Here you’ll find dreamy landscapes, soft garden scenes, glowing city streets, peaceful seascapes, and tender everyday moments. Each artwork is chosen to bring that gentle, blurred, “caught in the moment” feeling that makes Impressionist art so loved around the world.
 
 This curated art collection is perfect for art lovers who want to buy art online that feels poetic, emotional, and timeless. From romantic silhouettes at sunset to sunlit fields and misty mornings, every piece in this collection is selected for its mood, harmony, and storytelling. We focus on quality, beauty, and variety, so you can explore Impressionist wall art that truly speaks to you and reflects your personal taste with confidence.";"impressionist";"Impressionist paintings & Art Collection| Right Art Uk";"";"Explore our curated Impressionist art and wall art collection. Shop emotive, light-filled artworks and buy art online with confidence.";"";"";"";"Visitor,Customer,Guest";""
"29";"1";"Vintage paintings";"4";"Style";"Step into our Vintage Paintings & Art Collection, where every piece feels like a story from another time. This curated art collection is all about classic charm, soft nostalgia, and timeless style. Each artwork is carefully chosen to bring you that warm, vintage feeling people love when they buy art that truly speaks to them.
 
 Inside this collection, you’ll find dreamy landscapes, elegant portraits, romantic florals, classic city views, and charming everyday scenes inspired by past eras. The colors, details, and moods are all picked to give you a sense of comfort, history, and emotion in one place. It’s the ideal spot if you’re looking for vintage wall art with character, soul, and personality.
 
 Every piece in this vintage art collection is thoughtfully selected so you don’t have to scroll forever to find “the one.” Whether you’re building your first curated art wall or adding to an existing collection, this is where you can confidently buy vintage-inspired art online that feels special, meaningful, and uniquely you.";"vintage";"Vintage paintings & Art Collection| Right Art Uk";"";"Shop our Vintage Paintings & Wall Art collection – handpicked, nostalgic art pieces to buy online, full of charm, story and soul.";"";"";"";"Visitor,Customer,Guest";""
"30";"1";"Calligraphy paintings";"4";"Style";"Discover our Calligraphy Paintings & Art Collection, a curated range of elegant scripts, modern minimalist designs, and bold statement pieces. Each artwork blends timeless lettering with a fresh, contemporary feel to create a calm, uplifting mood. Inside this collection you’ll find classic flowing calligraphy, modern calligraphy quotes, sacred verses, inspiring words, and abstract layouts built around meaningful text and symbols.
 
 Every piece is carefully selected so you can shop art that feels personal and full of intention. Whether you’re drawn to soft, peaceful designs or strong, high-contrast compositions, this calligraphy wall art collection makes it easy to buy art that truly speaks to you. Browse with confidence, knowing each design is part of a thoughtfully curated art collection focused on beauty, balance, and emotional impact.";"calligraphy";"Calligraphy paintings & Art Collection| Right Art Uk";"";"Shop our curated Calligraphy Paintings & Wall Art collection – elegant, meaningful designs to buy online and express your style with art.";"";"";"";"Visitor,Customer,Guest";""
"31";"0";"Adult & Erotic paintings";"5";"Subjects";"Discover a bold, intimate world inside our Adult & Erotic Paintings & Art Collection, where sensuality meets artistic expression. This curated selection brings together artworks that celebrate desire, confidence, human connection, and the beauty of the body in a refined, artistic way. Each piece is chosen for the mood it creates—sometimes playful, sometimes mysterious, sometimes deeply emotional—making this collection feel both captivating and empowering.
 
 Within this collection, you’ll find a range of sensual themes: romantic silhouettes, passionate storytelling, confident poses, moody abstracts inspired by human chemistry, and tastefully provocative compositions that spark curiosity. Every artwork is selected to evoke feeling and invite the viewer into a more personal, expressive side of art. Whether someone is exploring bold statement pieces or subtle erotic aesthetics, this collection brings a unique blend of style, emotion, and artistic depth.
 
 Perfect for anyone looking to buy expressive art online or explore a thoughtfully curated art collection, this section brings together pieces that embrace passion, elegance, and individuality.";"adult-and-erotic";"Adult & Erotic paintings & Art Collection| Right Art Uk";"";"Explore a curated collection of adult and erotic art featuring sensual, expressive, and emotionally rich pieces. Shop bold, captivating artworks online.";"";"";"";"Visitor,Customer,Guest";""
"32";"1";"Animals paintings";"5";"Subjects";"Discover the heart of our Animals Paintings & Art Collection, a curated selection created for art lovers who connect deeply with the beauty and spirit of the animal world. This collection brings together expressive pieces celebrating wildlife, pets, and nature’s most fascinating creatures. From powerful portrayals of majestic animals to gentle, emotional scenes full of personality, every artwork is chosen to spark curiosity and wonder.
 
 Inside this collection, shoppers will find a diverse range of animal-themed art—from bold, dramatic portrayals of wild creatures to calming, intimate studies that highlight character and emotion. Each piece is selected for its ability to tell a story, making this collection a perfect destination for anyone looking to buy meaningful art or explore thoughtfully curated artwork online. Whether you're drawn to fierce energy, soft charm, or symbolic imagery, this collection offers a rich mix designed to inspire connection and uplift any personal art journey.";"animals";"Animals paintings & Art Collection| Right Art Uk";"";"Explore our curated Animals Paintings & Art Collection featuring expressive wildlife and pet art. Shop unique animal-themed artwork crafted to inspire.";"";"";"";"Visitor,Customer,Guest";""
"33";"1";"Culture & History paintings";"5";"Subjects";"Explore the Culture & History Paintings & Art Collection, a curated selection filled with stories, symbols, and powerful moments from across eras and civilizations. This collection brings together artworks that highlight traditions, ancient legends, cultural icons, historical scenes, and timeless human experiences. Each piece invites viewers to step into another world, offering a sense of depth, nostalgia, and connection that goes beyond visual beauty.
 
 Inside this collection, you’ll find art inspired by historic events, cultural rituals, mythological narratives, royal heritage, and influential figures who shaped societies. These pieces are thoughtfully chosen to help art lovers discover meaningful visuals that spark curiosity and emotion. Whether you're browsing to buy art online or exploring curated art collections, this category is designed to give you a rich and immersive experience. Every artwork here carries its own identity, celebrating the diversity and evolution of global culture in a captivating, modern style.";"culture-and-history";"Culture & History paintings & Art Collection| Right Art Uk";"";"Discover our Culture & History Art Collection—meaningful, story-rich artworks inspired by traditions, legends, and iconic moments. Shop unique curated pieces.";"";"";"";"Visitor,Customer,Guest";""
"34";"1";"Emotions & Advocacy paintings";"5";"Subjects";"Discover the heart of our Emotions & Advocacy Paintings & Art Collection, a curated selection created to spark inner reflection and meaningful conversation. This collection brings together artwork that expresses courage, vulnerability, hope, and the many layers of the human experience. Each piece is chosen for its ability to speak directly to the viewer, capturing feelings that are powerful, raw, and deeply relatable.
 
 Inside this collection, you’ll find emotionally charged portraits, impactful narrative pieces, and expressive contemporary art that highlight themes like identity, unity, resilience, and social awareness. These artworks go beyond visuals—they tell stories, challenge perspectives, and inspire connection. For collectors who love meaningful art or anyone looking to buy art with purpose, this collection offers a thoughtful blend of pieces that stand out for their depth and message.
 
 Whether you’re drawn to bold advocacy themes or gentle emotional storytelling, this curated art collection brings together works that are moving, empowering, and designed to leave a lasting impression.";"emotions-and-advocacy";"Emotions & Advocacy paintings & Art Collection| Right Art Uk";"";"Explore our Emotions & Advocacy Art Collection—powerful, story-driven artwork curated to inspire, connect, and spark meaningful reflection.";"";"";"";"Visitor,Customer,Guest";""
"35";"1";"Nature paintings";"5";"Subjects";"Step into our Nature Paintings & Art Collection, a curated selection created for art lovers who want to bring the calm, wild beauty of the outdoors into their lives. This collection highlights the peaceful mood of forests, mountains, rivers, sunlit fields, and dramatic skies—each artwork chosen for the emotions it evokes and the sense of connection it creates. Whether someone is drawn to quiet landscapes, vibrant botanicals, misty horizons, or lush green scenery, this collection offers a range of nature-themed pieces that capture the soul of the natural world.
 
 Every artwork in this collection is thoughtfully curated to help buyers discover pieces that feel alive with color, detail, and atmosphere. The designs follow the theme of nature in all its forms—gentle, powerful, refreshing, and endlessly inspiring. For collectors searching for meaningful art to buy online, this selection brings together the best nature-inspired visuals in one place, making it easy to explore a unified, calming, and expressive art collection crafted for today’s modern aesthetic.";"nature";"Nature paintings & Art Collection| Right Art Uk";"";"Explore our curated Nature Paintings & Art Collection featuring calming landscapes, botanicals, and scenic artworks. Find inspiring nature-themed art to buy online.";"";"";"";"Visitor,Customer,Guest";""
"36";"1";"Object & Still Life paintings";"5";"Subjects";"Discover the charm of everyday beauty in our Object & Still Life Paintings & Art Collection, a curated selection designed for art lovers who appreciate detail, balance, and quiet emotion. This collection brings together pieces that celebrate form, texture, and composition—showcasing objects, florals, food studies, vessels, and meaningful arrangements that capture small moments with big impact. Each artwork highlights the poetry of simple things, inviting viewers to slow down and notice the elegance hidden in daily life.
 
 Inside this collection, you’ll find a wide range of still-life themes: soft botanical setups, minimalist object studies, vibrant fruit compositions, vintage-inspired arrangements, modern table scenes, and thoughtful visual stories created through carefully placed elements. Every piece is chosen for its mood, harmony, and expressive character, offering art buyers a meaningful and stylish way to explore the world of still-life aesthetics. This curated art collection is ideal for anyone seeking refined, collectible artworks that blend timeless appeal with contemporary style.";"object-and-still-life";"Object & Still Life paintings & Art Collection| Right Art Uk";"";"Explore our curated Object & Still Life art collection—thoughtful, expressive pieces featuring objects, botanicals, and modern still-life scenes.";"";"";"";"Visitor,Customer,Guest";""
"37";"0";"People & Portraits paintings";"5";"Subjects";"Discover the heart of human expression inside our People & Portraits Paintings & Art Collection, a curated selection that celebrates character, emotion, and storytelling. This collection brings together artworks that highlight unique faces, diverse personalities, and powerful human moments. Each piece captures mood and presence in a way that draws you in, making this one of our most soul-connecting curated art collections for anyone looking to buy art online with meaning.
 
 Browse portraits full of quiet confidence, expressive gestures, cultural depth, and modern interpretations of the human form. From bold contemporary styles to soft, emotive character studies, every artwork in this collection is chosen to spark connection and inspire imagination. These pieces go beyond simple likeness—they reflect stories, feelings, and the beauty of individuality, making this collection a standout destination for art lovers seeking thoughtful, human-centered creations.
 
 Whether you're expanding your art collection or searching for a captivating piece that speaks to your personal taste, the People & Portraits collection offers a rich, inviting mix of character-driven artwork that feels warm, alive, and curated with intention.";"people-and-portraits";"People & Portraits paintings & Art Collection| Right Art Uk";"";"Explore our curated People & Portraits art collection filled with expressive, character-rich portrait paintings crafted to inspire emotion and connection.";"";"";"";"Visitor,Customer,Guest";""
"38";"1";"Places and Cityscape paintings";"5";"Subjects";"Discover the spirit of urban life with our Places and Cityscape Paintings & Art Collection, a curated selection designed for anyone who loves the energy, rhythm, and quiet beauty found in the world’s most iconic locations. Inside this collection, you’ll find expressive city skylines, charming street scenes, bustling marketplaces, scenic landmarks, and atmospheric travel-inspired artworks. Each piece captures the feeling of being there—whether it’s the glow of a busy downtown night or the calm charm of a hidden alleyway.
 
 This collection is thoughtfully assembled to bring together artworks that celebrate movement, culture, architecture, and the stories cities hold. Every painting is chosen for its mood and emotional pull, helping viewers feel the excitement of exploration or the nostalgia of memorable places. Ideal for art lovers searching for unique pieces that reflect adventure, wanderlust, and the character of real-world settings, this curated selection makes it easy to buy art online that truly connects.
 
 Explore a gallery built for those who appreciate meaningful details, world travel, and finely curated art collections centered around the beauty of places—both near and far.";"places-and-cityscape";"Places and Cityscape paintings & Art Collection| Right Art Uk";"";"Explore our curated Places & Cityscape Paintings Collection featuring expressive urban scenes, skylines, and travel-inspired art. Perfect for city lovers.";"";"";"";"Visitor,Customer,Guest";""
